years,months,planes,events,time start,time due,Location,MRO,PREPARED BY,REVIEWED BY,REVIEWED BY,Date of issue,Status,No
2018,8,A198,,,,,,Nguyen Van Thai,Thai Minh Hoang, Brian Arett, 15/May/2018,2,0
,,A558,ENG #2 CHG,,,,,Nguyen Van Thai,Thai Minh Hoang, Brian Arett, 15/May/2019,2,0
,,A559,6Y + 12Y + C05 + ENG #1 CHG + EOL,,,,,Nguyen Van Thai,Thai Minh Hoang, Brian Arett, 15/May/2020,2,0
,,,ENG #1 CHG,,,,,Nguyen Van Thai,Thai Minh Hoang, Brian Arett, 15/May/2021,2,0
,,A560,ENG #2 CHG,,,,,Nguyen Van Thai,Thai Minh Hoang, Brian Arett, 15/May/2022,2,0
,,A560,,,,,,Nguyen Van Thai,Thai Minh Hoang, Brian Arett, 15/May/2023,2,0
,,A562,A03,,,,,Nguyen Van Thai,Thai Minh Hoang, Brian Arett, 15/May/2024,2,0
,,A563,ENG #2 CHG,,,,,Nguyen Van Thai,Thai Minh Hoang, Brian Arett, 15/May/2025,2,0
,,A564,A10,,,,,Nguyen Van Thai,Thai Minh Hoang, Brian Arett, 15/May/2026,2,0
,,A565,C01,,,,,Nguyen Van Thai,Thai Minh Hoang, Brian Arett, 15/May/2027,2,0
,,A566,A09,,,,,Nguyen Van Thai,Thai Minh Hoang, Brian Arett, 15/May/2028,2,0
,,A567,,,,,,Nguyen Van Thai,Thai Minh Hoang, Brian Arett, 15/May/2029,2,0
,,A568,A06,,,,,Nguyen Van Thai,Thai Minh Hoang, Brian Arett, 15/May/2030,2,0
,,A569,A06,,,,,Nguyen Van Thai,Thai Minh Hoang, Brian Arett, 15/May/2031,2,0
,,A570,,,,,,Nguyen Van Thai,Thai Minh Hoang, Brian Arett, 15/May/2032,2,0
,,A571,A05,,,,,Nguyen Van Thai,Thai Minh Hoang, Brian Arett, 15/May/2033,2,0
,,A572,A05,,,,,Nguyen Van Thai,Thai Minh Hoang, Brian Arett, 15/May/2034,2,0
,,A573,A05,,,,,Nguyen Van Thai,Thai Minh Hoang, Brian Arett, 15/May/2035,2,0
,,A577,A03,,,,,Nguyen Van Thai,Thai Minh Hoang, Brian Arett, 15/May/2036,2,0
,9,A198,PUBLIC HOLIDAY,,,,,Nguyen Van Thai,Thai Minh Hoang, Brian Arett, 15/May/2037,2,0
,,A558,PUBLIC HOLIDAY,,,,,Nguyen Van Thai,Thai Minh Hoang, Brian Arett, 15/May/2038,2,0
,,A559,6Y + 12Y + C05 + ENG #1 CHG + EOL,,,,,Nguyen Van Thai,Thai Minh Hoang, Brian Arett, 15/May/2039,2,0
,,,PUBLIC HOLIDAY,,,,,Nguyen Van Thai,Thai Minh Hoang, Brian Arett, 15/May/2040,2,0
,,A560,6Y + 12Y + C06 + ENG #1/2 CHG + EOL,,,,,Nguyen Van Thai,Thai Minh Hoang, Brian Arett, 15/May/2041,2,0
,,,PUBLIC HOLIDAY,,,,,Nguyen Van Thai,Thai Minh Hoang, Brian Arett, 15/May/2042,2,0
,,A562,PUBLIC HOLIDAY,,,,,Nguyen Van Thai,Thai Minh Hoang, Brian Arett, 15/May/2043,2,0
,,A563,PUBLIC HOLIDAY,,,,,Nguyen Van Thai,Thai Minh Hoang, Brian Arett, 15/May/2044,2,0
,,A564,PUBLIC HOLIDAY,,,,,Nguyen Van Thai,Thai Minh Hoang, Brian Arett, 15/May/2045,2,0
,,A565,PUBLIC HOLIDAY,,,,,Nguyen Van Thai,Thai Minh Hoang, Brian Arett, 15/May/2046,2,0
,,A566,PUBLIC HOLIDAY,,,,,Nguyen Van Thai,Thai Minh Hoang, Brian Arett, 15/May/2047,2,0
,,A567,PUBLIC HOLIDAY,,,,,Nguyen Van Thai,Thai Minh Hoang, Brian Arett, 15/May/2048,2,0
,,A568,PUBLIC HOLIDAY,,,,,Nguyen Van Thai,Thai Minh Hoang, Brian Arett, 15/May/2049,2,0
,,A569,PUBLIC HOLIDAY,,,,,Nguyen Van Thai,Thai Minh Hoang, Brian Arett, 15/May/2050,2,0
,,A570,PUBLIC HOLIDAY,,,,,Nguyen Van Thai,Thai Minh Hoang, Brian Arett, 15/May/2051,2,0
,,A571,PUBLIC HOLIDAY,,,,,Nguyen Van Thai,Thai Minh Hoang, Brian Arett, 15/May/2052,2,0
,,A572,PUBLIC HOLIDAY,,,,,Nguyen Van Thai,Thai Minh Hoang, Brian Arett, 15/May/2053,2,0
,,A573,PUBLIC HOLIDAY,,,,,Nguyen Van Thai,Thai Minh Hoang, Brian Arett, 15/May/2054,2,0
,,A577,PUBLIC HOLIDAY,,,,,Nguyen Van Thai,Thai Minh Hoang, Brian Arett, 15/May/2055,2,0
